name,Av_gas,Av_gas_err,Av_star
COS4_18969,,,1.163
cosmos_132082,,,0.46
COS4_19049,2.00,,0.613
cosmos_132057,,,2.617
cosmos_132520,,,0.577
cosmos_129899,,,1.425
cosmos_132502,,,0.941
fmos_sf_strong_48_sha_lm,,,0.680
cosmos_129410_lm,,,0.748
fmos_sf_weak_55_wha_hm,,,0.607
cosmos_128220,,,0.829
cosmos_128449,,,0.575
cosmos_125697_hm,,,1.572
COS4_09667,,,0.388
COS4_11696,0.04,0.80,1.213
COS4_13038,,,1.038
fmos_sf_weak_389_wha_mm,,,0.888
cosmos_129830_sha_hm,,,1.090
COS4_16369,,,0.538
fmos_sf_strong_76_sha_mm,,,1.245
fmos_sf_strong_27_sha_lm,,,0.592